2026-06-10 16:04:56,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-10 16:04:56,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-10 16:04:56,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-10 16:05:13,333 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"ce1d12aa-9491-4d6f-9375-281db6961dbe(ozone-ha-datanode-2.ozone-ha_default/172.18.0.5)"} | ret=SUCCESS |  
2026-06-10 16:05:13,331 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=REGISTER {"datanodeDetails":"fda78a99-9ccc-457a-adc4-3f61283f4899(ozone-ha-datanode-1.ozone-ha_default/172.18.0.13)"} | ret=SUCCESS |  
2026-06-10 16:05:13,332 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82(ozone-ha-datanode-3.ozone-ha_default/172.18.0.12)"} | ret=SUCCESS |  
2026-06-10 16:05:43,134 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,153 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,178 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,232 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,253 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,270 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,283 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:05:43,308 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:13,244 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:13,280 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:13,306 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:43,247 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:43,282 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:43,315 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:44,496 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:44,517 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:44,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:44,842 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:45,965 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:46,023 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:49,811 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:49,879 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:51,191 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:06:51,217 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:07:19,880 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:07:20,846 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:07:21,065 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e28e66ff-d3eb-420e-b5aa-26f4febc8b82","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:07:21,145 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"fda78a99-9ccc-457a-adc4-3f61283f4899","command":"[]"} | ret=SUCCESS |  
2026-06-10 16:07:26,478 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"ce1d12aa-9491-4d6f-9375-281db6961dbe","command":"[]"} | ret=SUCCESS |  
