2026-06-17 15:37:25,362 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-17 15:37:26,311 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-17 15:37:26,614 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"2d043355-da2b-4153-baf7-d40226dd5a74(1240007603ed/172.25.0.103)"} | ret=SUCCESS |  
2026-06-17 15:37:26,973 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-17 15:37:27,556 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"dbc2b299-1494-4c38-a13b-2dc56fe77e64(7dc8f63e4888/172.25.0.104)"} | ret=SUCCESS |  
2026-06-17 15:37:28,077 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"4c5f5116-08fc-4622-948b-baedddb62dfe(00ca3162b6e6/172.25.0.102)"} | ret=SUCCESS |  
2026-06-17 15:37:28,344 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"2d043355-da2b-4153-baf7-d40226dd5a74","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:28,623 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"2d043355-da2b-4153-baf7-d40226dd5a74","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:28,637 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"2d043355-da2b-4153-baf7-d40226dd5a74","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:29,421 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"dbc2b299-1494-4c38-a13b-2dc56fe77e64","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:29,511 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"dbc2b299-1494-4c38-a13b-2dc56fe77e64","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:29,529 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"dbc2b299-1494-4c38-a13b-2dc56fe77e64","command":"[]"} | ret=SUCCESS |  
2026-06-17 15:37:30,084 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"4c5f5116-08fc-4622-948b-baedddb62dfe","command":"[]"} | ret=SUCCESS |  
