2026-06-30 18:38:08,955 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:08,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:08,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:08,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:08,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:08,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-06-30 18:38:16,024 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=REGISTER {"datanodeDetails":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0(ozone-balancer-datanode2-1.ozone-balancer_default/172.18.0.14)"} | ret=SUCCESS |  
2026-06-30 18:38:16,091 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"323518ee-5c71-420a-908c-51104691d68f(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.5)"} | ret=SUCCESS |  
2026-06-30 18:38:16,293 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"ade9663c-2dc1-43e1-96b7-09f0b717fa24(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.2)"} | ret=SUCCESS |  
2026-06-30 18:38:16,434 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e(ozone-balancer-datanode5-1.ozone-balancer_default/172.18.0.3)"} | ret=SUCCESS |  
2026-06-30 18:38:16,666 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"4aeb9841-9619-43c5-89df-8cd5a0d83e44(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.12)"} | ret=SUCCESS |  
2026-06-30 18:38:16,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"cb81e698-300c-4e7a-95c6-492dc261d4ad(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.9)"} | ret=SUCCESS |  
2026-06-30 18:38:19,949 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:19,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:19,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:19,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:19,949 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:19,963 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,946 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:39,967 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,938 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,943 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,953 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:38:59,962 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,934 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,952 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,959 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:19,965 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,936 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,961 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:39,966 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,942 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,948 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,949 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:39:59,967 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,318 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,384 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,444 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,469 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:01,584 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:06,880 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:06,986 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:21,287 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:21,442 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:21,471 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:21,580 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:26,877 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:26,983 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:41,281 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:41,442 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:41,469 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:41,579 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:46,878 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:40:46,983 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4aeb9841-9619-43c5-89df-8cd5a0d83e44","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:41:01,282 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"e57c4a0b-3d7d-4509-baa9-f92a349b5ad0","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:41:01,441 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {"datanodeUUID":"323518ee-5c71-420a-908c-51104691d68f","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:41:01,469 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"cb81e698-300c-4e7a-95c6-492dc261d4ad","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:41:01,578 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"4492ea65-bcd4-4a37-b5e5-13910aa8d71e","command":"[]"} | ret=SUCCESS |  
2026-06-30 18:41:06,878 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"ade9663c-2dc1-43e1-96b7-09f0b717fa24","command":"[]"} | ret=SUCCESS |  
