2026-07-08 15:31:50,741 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-08 15:31:50,745 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-08 15:31:50,745 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-08 15:31:50,741 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-08 15:31:53,416 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"03f369ca-c09d-40ab-b7c2-1271c5c34814(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.2)"} | ret=SUCCESS |  
2026-07-08 15:31:53,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"a34e8484-98f1-4080-83b7-363b2b71f075(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.9)"} | ret=SUCCESS |  
2026-07-08 15:31:53,824 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.8)"} | ret=SUCCESS |  
2026-07-08 15:31:54,027 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"6452688a-0de6-4fc6-8a93-1d1b0253fb38(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.12)"} | ret=SUCCESS |  
2026-07-08 15:32:07,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:07,301 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:07,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:07,301 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:27,159 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:27,207 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:27,212 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:27,294 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:47,159 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:47,205 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:47,215 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:32:47,294 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:07,160 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:07,209 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:07,214 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:07,294 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:27,160 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:27,206 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:27,212 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:27,296 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:47,158 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:47,208 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:47,213 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:47,298 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:48,352 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:48,385 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:48,409 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:33:53,644 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:07,302 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:08,385 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:08,410 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:13,648 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:27,297 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:28,386 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:28,409 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:33,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:47,297 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:48,384 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:48,407 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:34:53,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:35:07,297 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"03f369ca-c09d-40ab-b7c2-1271c5c34814","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:35:08,385 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"6452688a-0de6-4fc6-8a93-1d1b0253fb38","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:35:08,406 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"b24c1ad9-6f00-4a9e-a2a8-a176ebfe7944","command":"[]"} | ret=SUCCESS |  
2026-07-08 15:35:13,647 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"a34e8484-98f1-4080-83b7-363b2b71f075","command":"[]"} | ret=SUCCESS |  
