2026-07-10 09:54:00,108 | INFO  | OMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:54:01,867 | INFO  | OMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:54:06,041 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:54:06,899 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_VOLUME {"admin":"hadoop","owner":"hadoop","volume":"volume1","creationTime":"1783677246857","modificationTime":"1783677246857","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854775552","updateID":"1","Transaction":"1"} | ret=SUCCESS |  
2026-07-10 09:54:08,284 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:54:08,983 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:54:09,054 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=CREATE_BUCKET {"volume":"volume1","bucket":"bucket1","bucketLayout":"FILE_SYSTEM_OPTIMIZED","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1783677249029","bucketEncryptionKey":null,"modificationTime":"1783677249029","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":"EC","replicationConfig":"rs-3-2-1024k","quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"2"} | ret=SUCCESS |  
2026-07-10 09:55:30,001 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:55:30,757 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:55:30,781 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:30,825 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:30,993 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=ALLOCATE_KEY {"volume":"volume1","bucket":"bucket1","key":"file-0.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"3"} | ret=SUCCESS |  
2026-07-10 09:55:34,976 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"file-0.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"4"} | ret=SUCCESS |  
2026-07-10 09:55:38,708 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:55:39,481 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:55:39,505 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:39,663 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_KEY {"volume":"volume1","bucket":"bucket1","key":"file-0.txt","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
2026-07-10 09:55:44,591 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:55:45,309 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:55:45,333 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:45,359 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:45,451 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=ALLOCATE_KEY {"volume":"volume1","bucket":"bucket1","key":"file-1.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"5"} | ret=SUCCESS |  
2026-07-10 09:55:48,943 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"file-1.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"6"} | ret=SUCCESS |  
2026-07-10 09:55:52,677 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:55:53,408 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:55:53,430 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:53,461 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_KEY {"volume":"volume1","bucket":"bucket1","key":"file-1.txt","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
2026-07-10 09:55:58,182 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:55:58,925 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:55:58,946 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:58,973 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
2026-07-10 09:55:59,019 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=ALLOCATE_KEY {"volume":"volume1","bucket":"bucket1","key":"file-2.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"7"} | ret=SUCCESS |  
2026-07-10 09:56:02,627 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=COMMIT_KEY {"volume":"volume1","bucket":"bucket1","key":"file-2.txt","dataSize":"104857600","replicationType":"EC","replicationConfig":"rs-3-2-1048576","Transaction":"8"} | ret=SUCCESS |  
2026-07-10 09:56:05,331 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-07-10 09:56:06,058 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_VOLUME {"volume":"volume1"} | ret=SUCCESS |  
2026-07-10 09:56:06,081 | INFO  | OMAudit | user=hadoop | ip=172.18.0.15 | op=READ_BUCKET {"volume":"volume1","bucket":"bucket1"} | ret=SUCCESS |  
