2026-07-15 06:00:16,872 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {"bucket":"[bucket1]","x-amz-request-id":"05d65fa1-1a66-4e5f-acee-af8714c0148a","x-amz-id-2":"QIoYhQVdP6tD6e8"} | ret=SUCCESS | perf={} |  
2026-07-15 06:00:21,505 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/1]","x-amz-request-id":"4ceb085f-46b2-48ca-9058-90e5759fe851","x-amz-id-2":"257YU0JhpnPocje"} | ret=SUCCESS | perf={metaLatencyMs=375, sizeByte=10240, opLatencyMs=2307} |  
2026-07-15 06:00:21,507 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/7]","x-amz-request-id":"91b55b9e-a488-436d-89fd-b010c9efa253","x-amz-id-2":"OgBgyssckEve"} | ret=SUCCESS | perf={metaLatencyMs=377, sizeByte=10240, opLatencyMs=2311} |  
2026-07-15 06:00:21,507 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/5]","x-amz-request-id":"0ffb7a89-3ae7-41dd-a597-f6e3a4cf76b5","x-amz-id-2":"aiue0M7ai"} | ret=SUCCESS | perf={metaLatencyMs=377, sizeByte=10240, opLatencyMs=2310} |  
2026-07-15 06:00:21,666 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/3]","x-amz-request-id":"5c27ca56-cf64-4e03-8536-f8bc4d8feb75","x-amz-id-2":"bAdJbddLBNQQUZ9"} | ret=SUCCESS | perf={metaLatencyMs=376, sizeByte=10240, opLatencyMs=2469} |  
2026-07-15 06:00:21,666 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/8]","x-amz-request-id":"13137cbe-f279-4d32-b1ad-9bbaee593f08","x-amz-id-2":"YKEuXctdUIE"} | ret=SUCCESS | perf={metaLatencyMs=377, sizeByte=10240, opLatencyMs=2468} |  
2026-07-15 06:00:21,668 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/4]","x-amz-request-id":"6e53a305-2108-4048-80ac-bc47b0f5e19a","x-amz-id-2":"a2OfQHAJI3KbD6O"} | ret=SUCCESS | perf={metaLatencyMs=378, sizeByte=10240, opLatencyMs=2473} |  
2026-07-15 06:00:21,671 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/6]","x-amz-request-id":"2e862d4f-1d74-4ef5-98dd-124d2ce61e23","x-amz-id-2":"5MUbReIk05"} | ret=SUCCESS | perf={metaLatencyMs=376, sizeByte=10240, opLatencyMs=2473} |  
2026-07-15 06:00:21,672 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/0]","x-amz-request-id":"f0b4feb1-d736-4b5c-845d-25817724f3bc","x-amz-id-2":"BSsdP9swESaCm"} | ret=SUCCESS | perf={metaLatencyMs=375, sizeByte=10240, opLatencyMs=2473} |  
2026-07-15 06:00:21,672 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/9]","x-amz-request-id":"d360c41a-6e2a-456a-b92a-67eb3e7d2268","x-amz-id-2":"lT6TsPMWSp"} | ret=SUCCESS | perf={metaLatencyMs=378, sizeByte=10240, opLatencyMs=2478} |  
2026-07-15 06:00:21,678 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/2]","x-amz-request-id":"6144ca82-a8fc-41ad-b08a-c54b49e0b907","x-amz-id-2":"djGsApWLc01Ge"} | ret=SUCCESS | perf={metaLatencyMs=378, sizeByte=10240, opLatencyMs=2483} |  
2026-07-15 06:00:22,008 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/12]","x-amz-request-id":"6a230691-4201-4aef-81df-7cf632293aab","x-amz-id-2":"YXq1bmY2T4z"} | ret=SUCCESS | perf={metaLatencyMs=164, sizeByte=10240, opLatencyMs=474} |  
2026-07-15 06:00:22,062 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/10]","x-amz-request-id":"469d2cf2-6f46-4c60-8653-41de5dc44517","x-amz-id-2":"YDzDUawwA"} | ret=SUCCESS | perf={metaLatencyMs=195, sizeByte=10240, opLatencyMs=505} |  
2026-07-15 06:00:22,084 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/11]","x-amz-request-id":"387a6f09-ea7d-4b92-963e-1961e192bf65","x-amz-id-2":"rvHuZW6mtd8J"} | ret=SUCCESS | perf={metaLatencyMs=207, sizeByte=10240, opLatencyMs=543} |  
2026-07-15 06:00:22,207 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/15]","x-amz-request-id":"382696eb-e514-43ab-bd2c-2009876b5329","x-amz-id-2":"qI8ENngCVfH"} | ret=SUCCESS | perf={metaLatencyMs=253, sizeByte=10240, opLatencyMs=517} |  
2026-07-15 06:00:22,207 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/16]","x-amz-request-id":"6df09ca4-05de-4155-875b-b12bfede1216","x-amz-id-2":"zCzvY9kim"} | ret=SUCCESS | perf={metaLatencyMs=272, sizeByte=10240, opLatencyMs=518} |  
2026-07-15 06:00:22,240 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/17]","x-amz-request-id":"6bb295ad-cbae-484c-93cb-a2bf5e8f04f8","x-amz-id-2":"pBaOeOwIJ"} | ret=SUCCESS | perf={metaLatencyMs=292, sizeByte=10240, opLatencyMs=545} |  
2026-07-15 06:00:22,245 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/13]","x-amz-request-id":"b9f93950-41b4-43e8-a0bc-36eff3119a4b","x-amz-id-2":"Yfg6YZPX"} | ret=SUCCESS | perf={metaLatencyMs=294, sizeByte=10240, opLatencyMs=553} |  
2026-07-15 06:00:22,252 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/18]","x-amz-request-id":"c9856fff-84cd-4b63-abbf-3ce103b5aa6b","x-amz-id-2":"OfkbiWpapnm"} | ret=SUCCESS | perf={metaLatencyMs=257, sizeByte=10240, opLatencyMs=563} |  
2026-07-15 06:00:22,263 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/19]","x-amz-request-id":"8e709e18-f14e-4c74-915a-fa9a5daa5f4b","x-amz-id-2":"xTpWbuMvQ"} | ret=SUCCESS | perf={metaLatencyMs=301, sizeByte=10240, opLatencyMs=562} |  
2026-07-15 06:00:22,267 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/14]","x-amz-request-id":"dbb18337-77ce-46d6-bbb4-003f772ce21f","x-amz-id-2":"lQ42e0LnBnU"} | ret=SUCCESS | perf={metaLatencyMs=344, sizeByte=10240, opLatencyMs=567} |  
2026-07-15 06:00:22,409 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/21]","x-amz-request-id":"cdec3c12-07d3-4948-a97a-25c2b301e373","x-amz-id-2":"48mOvVz1U"} | ret=SUCCESS | perf={metaLatencyMs=148, sizeByte=10240, opLatencyMs=293} |  
2026-07-15 06:00:22,581 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/22]","x-amz-request-id":"9cb43852-e97b-4b18-a125-18e42950b640","x-amz-id-2":"Us0MRP59kzu3JYw"} | ret=SUCCESS | perf={metaLatencyMs=127, sizeByte=10240, opLatencyMs=378} |  
2026-07-15 06:00:22,603 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/29]","x-amz-request-id":"66dbf5f6-578d-413a-a3ac-a263f38f912f","x-amz-id-2":"0EdUdDmkLjS84tI"} | ret=SUCCESS | perf={metaLatencyMs=120, sizeByte=10240, opLatencyMs=291} |  
2026-07-15 06:00:22,623 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/25]","x-amz-request-id":"241c8620-1840-4888-b364-1506daa166f7","x-amz-id-2":"pOg1vSRHY"} | ret=SUCCESS | perf={metaLatencyMs=150, sizeByte=10240, opLatencyMs=366} |  
2026-07-15 06:00:22,624 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_KEY {"bucket":"[bucket1]","path":"[s3bg/28]","x-amz-request-id":"efb9d169-bc26-441e-bc91-b7cd68bbdefb","x-amz-id-2":"HnRQEPmWs"} | ret=SUCCESS | perf={metaLatencyMs=109, sizeByte=10240, opLatencyMs=308} |  
