2026-07-26 03:41:34,053 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:35,117 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:36,120 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:37,061 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-26 03:41:37,061 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-26 03:41:37,061 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-26 03:41:37,061 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-07-26 03:41:37,143 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:37,696 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"05625a1e-cd57-4861-b282-8cde5f240c83(fdee41b94eb8/172.18.0.5)"} | ret=SUCCESS |  
2026-07-26 03:41:38,147 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:38,156 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"52f5dc4a-d59d-4eb7-b743-b1e8cbe70cba(0a8b05b58bd1/172.18.0.9)"} | ret=SUCCESS |  
2026-07-26 03:41:38,864 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {"datanodeDetails":"dbe27f8e-e764-4e47-8e6f-526db192a258(7eb0364cbcb3/172.18.0.7)"} | ret=SUCCESS |  
2026-07-26 03:41:39,037 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {"datanodeDetails":"31549472-b5a5-476c-ad5b-82d0b88b38cf(2da6b2e2b216/172.18.0.4)"} | ret=SUCCESS |  
2026-07-26 03:41:39,151 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-07-26 03:41:39,153 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_SCM_INFO {} | ret=SUCCESS |  
