2026-08-07 07:18:59,730 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:00,797 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-07 07:19:00,910 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:01,552 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-07 07:19:01,784 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-08-07 07:19:01,897 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-08-07 07:19:01,915 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:02,120 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"b865587d-8410-4693-9815-c028362a9cee(32d6c2765184/172.18.0.6)"} | ret=SUCCESS |  
2026-08-07 07:19:02,494 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"ab1b3b7b-560d-4d16-b902-f3fc8beaed11\" uuid128 { mostSigBits: -6117230267941958378 leastSigBits: -5115257960734724847 } } type: RATIS factor: ONE datanode { uuid: \"b865587d-8410-4693-9815-c028362a9cee\" ipAddress: \"172.18.0.6\" hostName: \"ozone-datanode-1.ozone_default\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"b865587d-8410-4693-9815-c028362a9cee\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -5159620501973219693 leastSigBits: -7487867526493594386 } level: 3 id { uuid { mostSigBits: -5159620501973219693 leastSigBits: -7487867526493594386 } } } cmdId: 1786087142125 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-07 07:19:02,922 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:03,925 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:04,931 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:05,153 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:05,251 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_PIPELINE {"pipelineID":"ab1b3b7b-560d-4d16-b902-f3fc8beaed11"} | ret=SUCCESS |  
2026-08-07 07:19:05,457 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:05,500 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:05,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-07 07:19:06,795 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-07 07:19:10,496 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:10,506 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:15,500 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:20,502 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"b865587d-8410-4693-9815-c028362a9cee","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-07 07:19:20,986 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=ALLOCATE_BLOCK {"replication":"RATIS/ONE","owner":"omServiceIdDefault","size":"1048576","sampleBlocks":"[conID: 1 locID: 117883640217600001]","num":"1","client":"","allocated":"1"} | ret=SUCCESS |  
