2026-08-08 08:18:13,756 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"true","Transaction":"1"} | ret=SUCCESS |  
2026-08-08 08:18:17,939 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"false","Transaction":"2"} | ret=SUCCESS |  
2026-08-08 08:18:24,071 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"true","Transaction":"3"} | ret=SUCCESS |  
2026-08-08 08:18:39,501 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"false","Transaction":"9"} | ret=SUCCESS |  
2026-08-08 08:18:49,546 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"true","Transaction":"10"} | ret=SUCCESS |  
2026-08-08 08:18:52,065 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_SERVICE_STATUS {"suspend":"false","Transaction":"11"} | ret=SUCCESS |  
2026-08-08 08:18:55,583 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_S3_SECRET {"Transaction":"12","S3GetSecretUser":"testuser/s3g@EXAMPLE.COM"} | ret=SUCCESS |  
2026-08-08 08:18:59,615 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {"volume":"s3v","bucket":"bucket-tcckzemqcb","bucketLayout":"OBJECT_STORE","gdprEnabled":null,"acls":"[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1786177138191","bucketEncryptionKey":null,"modificationTime":"1786177138191","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"testuser","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"13"} | ret=SUCCESS |  
2026-08-08 08:19:00,395 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {"volume":"s3v","bucket":"bucket-ozone-test-5571994295","bucketLayout":"OBJECT_STORE","gdprEnabled":null,"acls":"[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1786177139578","bucketEncryptionKey":null,"modificationTime":"1786177139578","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"testuser","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"14"} | ret=SUCCESS |  
2026-08-08 08:19:01,095 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=SET_LIFECYCLE_CONFIGURATION {"volume":"s3v","bucket":"bucket-ozone-test-5571994295","objectID":"-9223372036854772224","creationTime":"1786177140373","Transaction":"15"} | ret=SUCCESS |  
2026-08-08 08:19:01,719 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {"volume":"s3v","bucket":"bucket-ozone-test-9808395797","bucketLayout":"OBJECT_STORE","gdprEnabled":null,"acls":"[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1786177141052","bucketEncryptionKey":null,"modificationTime":"1786177141052","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"testuser","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"16"} | ret=SUCCESS |  
