2026-08-08 08:17:37,072 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 08:17:37,269 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 08:17:38,265 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"22594950-6a7f-45c1-a9c6-36a1e531e6ba(f3d8c6a2acfa/172.25.0.103)"} | ret=SUCCESS |  
2026-08-08 08:17:38,998 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"06820f7c-584c-4087-91a9-c2ca240d2618(d55820dbbdf3/172.25.0.102)"} | ret=SUCCESS |  
2026-08-08 08:17:40,031 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"22594950-6a7f-45c1-a9c6-36a1e531e6ba","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:40,218 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 08:17:40,221 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"22594950-6a7f-45c1-a9c6-36a1e531e6ba","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:40,254 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"22594950-6a7f-45c1-a9c6-36a1e531e6ba","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:40,833 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"06820f7c-584c-4087-91a9-c2ca240d2618","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:41,005 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"06820f7c-584c-4087-91a9-c2ca240d2618","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:41,050 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"06820f7c-584c-4087-91a9-c2ca240d2618","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:41,646 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"fe62414b-6ae4-4ead-8877-efb95bf2d9fe(302758de248b/172.25.0.104)"} | ret=SUCCESS |  
2026-08-08 08:17:41,854 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"22594950-6a7f-45c1-a9c6-36a1e531e6ba","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:42,745 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"06820f7c-584c-4087-91a9-c2ca240d2618","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:43,221 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"fe62414b-6ae4-4ead-8877-efb95bf2d9fe","command":"[]"} | ret=SUCCESS |  
2026-08-08 08:17:43,443 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"fe62414b-6ae4-4ead-8877-efb95bf2d9fe","command":"[]"} | ret=SUCCESS |  
