2026-08-08 13:29:19,247 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 13:29:19,247 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 13:29:19,252 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 13:29:19,246 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-08 13:29:19,454 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {"datanodeDetails":"73ce7077-cde9-456d-b291-52d4a8df1761(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.11)"} | ret=SUCCESS |  
2026-08-08 13:29:19,621 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.3)"} | ret=SUCCESS |  
2026-08-08 13:29:19,654 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {"datanodeDetails":"c06e07b2-2907-428c-8048-bd0e94843763(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.4)"} | ret=SUCCESS |  
2026-08-08 13:29:19,754 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:20,835 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:20,845 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"0619df6b-6497-4774-a373-acd294c63dea(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.6)"} | ret=SUCCESS |  
2026-08-08 13:29:21,492 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:26,580 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:32,746 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:32,763 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:39,740 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:41,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:52,747 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:52,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:29:59,735 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:01,485 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:12,746 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:12,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:19,736 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:21,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:32,748 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:32,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:39,732 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:41,489 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:52,748 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:52,754 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:30:59,734 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:31:01,486 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"84325f2d-6c80-4bb3-a7df-9d2b82e315d2","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:31:12,749 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"c06e07b2-2907-428c-8048-bd0e94843763","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:31:12,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"0619df6b-6497-4774-a373-acd294c63dea","command":"[]"} | ret=SUCCESS |  
2026-08-08 13:31:19,734 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"73ce7077-cde9-456d-b291-52d4a8df1761","command":"[]"} | ret=SUCCESS |  
