2026-08-11 11:56:46,512 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:47,561 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:47,654 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:56:48,044 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:56:48,211 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:56:48,563 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:49,566 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:49,689 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:56:49,700 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:56:49,863 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:56:50,070 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"374dfa88-285e-46e1-8bf2-402a413d5eea(dn1/10.9.0.11)"} | ret=SUCCESS |  
2026-08-11 11:56:50,517 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"dffd68a6-5e62-492c-8cd8-325d95e17a88(dn3/10.9.0.13)"} | ret=SUCCESS |  
2026-08-11 11:56:50,569 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:50,625 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"d9cb6463-cb1b-4642-a030-0b2652b6eb52(dn2/10.9.0.12)"} | ret=SUCCESS |  
2026-08-11 11:56:51,580 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:52,003 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:52,407 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"dffd68a6-5e62-492c-8cd8-325d95e17a88","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:52,582 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:56:52,616 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:53,556 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:54,131 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:54,517 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"dffd68a6-5e62-492c-8cd8-325d95e17a88","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:55,385 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:56:55,441 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"4","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:57:13,187 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {"replication":"RATIS/ONE","owner":"omservice","size":"268435456","sampleBlocks":"[conID: 6 locID: 117883640217601001]","num":"1","client":"","allocated":"1"} | ret=SUCCESS |  
2026-08-11 11:57:17,585 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {"containerIDs":"#6,"} | ret=SUCCESS |  
