2026-08-11 12:09:52,455 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:09:53,052 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:09:53,063 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"2567db2d-6cb8-44ce-a03f-8d8cf220e722(66a3751572cb/172.25.0.102)"} | ret=SUCCESS |  
2026-08-11 12:09:53,400 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"94930cd3-30a7-4a4d-be44-c323b9765e59(c075e2bdec4f/172.25.0.103)"} | ret=SUCCESS |  
2026-08-11 12:09:53,675 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:09:54,508 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"08516504-ca12-4697-950c-83f44fecf222(8af3c2dbe19c/172.25.0.104)"} | ret=SUCCESS |  
2026-08-11 12:09:54,777 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:54,947 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:54,967 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:55,348 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:55,704 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:55,795 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:56,468 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:56,902 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:57,328 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:57,476 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:58,155 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:58,516 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:59,244 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:59,435 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:09:59,905 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:03,000 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:03,621 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:03,653 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:03,713 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:04,198 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:04,728 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:05,176 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:08,608 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:08,999 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:10,237 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:13,609 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"2567db2d-6cb8-44ce-a03f-8d8cf220e722","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:13,996 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"08516504-ca12-4697-950c-83f44fecf222","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:10:15,180 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"94930cd3-30a7-4a4d-be44-c323b9765e59","command":"[]"} | ret=SUCCESS |  
