2026-08-11 12:16:30,052 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:31,259 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:31,811 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.7 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 12:16:32,262 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:33,265 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:34,269 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:35,273 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:36,288 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:37,304 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:38,307 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:39,310 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:40,314 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:41,320 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:42,323 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:43,327 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:44,418 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:45,090 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:16:45,422 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:46,425 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:47,229 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e(dn/172.18.0.8)"} | ret=SUCCESS |  
2026-08-11 12:16:47,428 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:47,478 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:16:47,560 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 12:16:48,063 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.7 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 12:16:48,435 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:48,736 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.18.0.10 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-08-11 12:16:48,958 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.18.0.10 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-08-11 12:16:49,440 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:49,496 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"49cc308a-2c7c-42e2-a650-651efd59023b(dn/172.18.0.12)"} | ret=SUCCESS |  
2026-08-11 12:16:49,503 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"4ec07b05-7df5-4f9b-a602-3f81034561be\" uuid128 { mostSigBits: 5674670794005106587 leastSigBits: -6484550690121883202 } } type: RATIS factor: ONE datanode { uuid: \"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e\" ipAddress: \"172.18.0.8\" hostName: \"ozonesecure-datanode-3.ozonesecure_default\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } certSerialId: \"5\" networkName: \"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 4548485996011274482 leastSigBits: -5499285489542294386 } level: 3 id { uuid { mostSigBits: 4548485996011274482 leastSigBits: -5499285489542294386 } } } cmdId: 1786450607223 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-11 12:16:49,600 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:49,751 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"da3d659d-ebe2-45c8-b3de-ba6c6fd7f739\" uuid128 { mostSigBits: -2720906870920165944 leastSigBits: -5485742321195026631 } } type: RATIS factor: ONE datanode { uuid: \"49cc308a-2c7c-42e2-a650-651efd59023b\" ipAddress: \"172.18.0.12\" hostName: \"ozonesecure-datanode-1.ozonesecure_default\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } certSerialId: \"4\" networkName: \"49cc308a-2c7c-42e2-a650-651efd59023b\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 5317678630027674338 leastSigBits: -6462554281502768581 } level: 3 id { uuid { mostSigBits: 5317678630027674338 leastSigBits: -6462554281502768581 } } } cmdId: 1786450607224 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-11 12:16:50,221 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:50,334 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:50,342 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:50,444 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:51,448 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:52,452 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:52,707 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:52,720 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.18.0.10 | op=GET_PIPELINE {"pipelineID":"da3d659d-ebe2-45c8-b3de-ba6c6fd7f739"} | ret=SUCCESS |  
2026-08-11 12:16:52,731 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:52,767 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:53,456 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:54,459 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:55,315 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"3f1f77ea-1a17-40f2-b3ae-9cfbd55f148e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:55,462 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:56,465 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:57,467 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 12:16:57,749 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:57,849 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"49cc308a-2c7c-42e2-a650-651efd59023b","term":"2","command":"[]"} | ret=SUCCESS |  
2026-08-11 12:16:58,469 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
