2026-08-18 20:27:32,799 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-18 20:27:33,225 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,226 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,231 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,234 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,236 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,236 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,239 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,239 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,241 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-18 20:27:33,998 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-18 20:27:34,633 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.9 | op=REGISTER {"datanodeDetails":"df29c1b3-b92f-437f-b4ad-d8d9189b3d17(bb7084e9db93/10.5.0.9)"} | ret=SUCCESS |  
2026-08-18 20:27:34,954 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=REGISTER {"datanodeDetails":"19d566ed-4d53-43c5-8b21-2e88cf0082c0(cf5b547ba203/10.5.0.4)"} | ret=SUCCESS |  
2026-08-18 20:27:35,001 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-18 20:27:35,201 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.70 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-18 20:27:35,273 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=REGISTER {"datanodeDetails":"a52f1a9d-515a-4251-980d-39e77951ce09(ff5ddd93488a/10.5.0.6)"} | ret=SUCCESS |  
2026-08-18 20:27:35,360 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-08-18 20:27:35,543 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-08-18 20:27:36,008 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-18 20:27:36,173 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=REGISTER {"datanodeDetails":"cf393d4d-0394-4d8c-960a-0b24cc6f363c(791d141b6003/10.5.0.8)"} | ret=SUCCESS |  
2026-08-18 20:27:36,363 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=REGISTER {"datanodeDetails":"fc3dfe4c-af59-48c7-a969-35b6a6b9918e(71d8b0674b54/10.5.0.7)"} | ret=SUCCESS |  
2026-08-18 20:27:36,421 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.5 | op=REGISTER {"datanodeDetails":"d611d3a9-0c3b-45c0-aa84-97b5913b9a97(9c9709f5a291/10.5.0.5)"} | ret=SUCCESS |  
2026-08-18 20:27:36,525 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"19d566ed-4d53-43c5-8b21-2e88cf0082c0","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"e457aaa9-f001-4382-b34d-98dc3f4dfb65\" uuid128 { mostSigBits: -1992936663235345534 leastSigBits: -5526593095991428251 } } type: RATIS factor: ONE datanode { uuid: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" ipAddress: \"10.5.0.4\" hostName: \"ozone-topology-datanode_1-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } level: 3 id { uuid { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } } } cmdId: 1787084854680 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"49cc5589-fdbb-45a4-b317-4680ad849789\" uuid128 { mostSigBits: 5317719311173502372 leastSigBits: -5541883297975199863 } } type: RATIS factor: THREE datanode { uuid: \"a52f1a9d-515a-4251-980d-39e77951ce09\" ipAddress: \"10.5.0.6\" hostName: \"ozone-topology-datanode_3-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"a52f1a9d-515a-4251-980d-39e77951ce09\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } level: 3 id { uuid { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } } } datanode { uuid: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" ipAddress: \"10.5.0.8\" hostName: \"ozone-topology-datanode_5-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } level: 3 id { uuid { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } } } datanode { uuid: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" ipAddress: \"10.5.0.4\" hostName: \"ozone-topology-datanode_1-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } level: 3 id { uuid { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } } } cmdId: 1787084854683 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-18 20:27:36,524 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"df29c1b3-b92f-437f-b4ad-d8d9189b3d17","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"0524d21a-05b7-4435-852d-4222356fddda\" uuid128 { mostSigBits: 370652078558102581 leastSigBits: -8850344978020311590 } } type: RATIS factor: ONE datanode { uuid: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" ipAddress: \"10.5.0.9\" hostName: \"ozone-topology-datanode_6-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } level: 3 id { uuid { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } } } cmdId: 1787084854679 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"2cc2c1d6-04da-49f1-acab-cb337a60f8e5\" uuid128 { mostSigBits: 3225353408099273201 leastSigBits: -6004482256211478299 } } type: RATIS factor: THREE datanode { uuid: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" ipAddress: \"10.5.0.9\" hostName: \"ozone-topology-datanode_6-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } level: 3 id { uuid { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } } } datanode { uuid: \"a52f1a9d-515a-4251-980d-39e77951ce09\" ipAddress: \"10.5.0.6\" hostName: \"ozone-topology-datanode_3-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"a52f1a9d-515a-4251-980d-39e77951ce09\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } level: 3 id { uuid { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } } } datanode { uuid: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" ipAddress: \"10.5.0.8\" hostName: \"ozone-topology-datanode_5-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } level: 3 id { uuid { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } } } cmdId: 1787084854684 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2026-08-18 20:27:36,529 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf393d4d-0394-4d8c-960a-0b24cc6f363c","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"7640dbbc-41f3-46f2-b091-6aeb69104bd3\" uuid128 { mostSigBits: 8521052096591775474 leastSigBits: -5723676092098655277 } } type: RATIS factor: ONE datanode { uuid: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" ipAddress: \"10.5.0.8\" hostName: \"ozone-topology-datanode_5-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } level: 3 id { uuid { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } } } cmdId: 1787084854682 priority: 1 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"49cc5589-fdbb-45a4-b317-4680ad849789\" uuid128 { mostSigBits: 5317719311173502372 leastSigBits: -5541883297975199863 } } type: RATIS factor: THREE datanode { uuid: \"a52f1a9d-515a-4251-980d-39e77951ce09\" ipAddress: \"10.5.0.6\" hostName: \"ozone-topology-datanode_3-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"a52f1a9d-515a-4251-980d-39e77951ce09\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } level: 3 id { uuid { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } } } datanode { uuid: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" ipAddress: \"10.5.0.8\" hostName: \"ozone-topology-datanode_5-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } level: 3 id { uuid { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } } } datanode { uuid: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" ipAddress: \"10.5.0.4\" hostName: \"ozone-topology-datanode_1-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"19d566ed-4d53-43c5-8b21-2e88cf0082c0\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } level: 3 id { uuid { mostSigBits: 1861507190378152901 leastSigBits: -8421398663082769728 } } } cmdId: 1787084854683 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"2cc2c1d6-04da-49f1-acab-cb337a60f8e5\" uuid128 { mostSigBits: 3225353408099273201 leastSigBits: -6004482256211478299 } } type: RATIS factor: THREE datanode { uuid: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" ipAddress: \"10.5.0.9\" hostName: \"ozone-topology-datanode_6-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"df29c1b3-b92f-437f-b4ad-d8d9189b3d17\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } level: 3 id { uuid { mostSigBits: -2366147151556295809 leastSigBits: -5427443548979249897 } } } datanode { uuid: \"a52f1a9d-515a-4251-980d-39e77951ce09\" ipAddress: \"10.5.0.6\" hostName: \"ozone-topology-datanode_3-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"a52f1a9d-515a-4251-980d-39e77951ce09\" networkLocation: \"/rack1\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } level: 3 id { uuid { mostSigBits: -6543982470568983983 leastSigBits: -7490266938911633911 } } } datanode { uuid: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" ipAddress: \"10.5.0.8\" hostName: \"ozone-topology-datanode_5-1.ozone-topology_net\" ports { name: \"STANDALONE\" value: 9859 } ports { name: \"RATIS\" value: 9858 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } networkName: \"cf393d4d-0394-4d8c-960a-0b24cc6f363c\" networkLocation: \"/rack2\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 4 uuid128 { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } level: 3 id { uuid { mostSigBits: -3514710633204134516 leastSigBits: -7635277965576686020 } } } cmdId: 1787084854684 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
